agency_name,position,name,appointment_date,expiry_date,appointment_method
ATB Financial,Director,"Bashir, Naseem",Jun 16 2024,Jun 15 2027,Order in Council
ATB Financial,Director,"Flynn, Kara",Jun 16 2024,Jun 15 2027,Order in Council
Athabasca University Board of Governors,Chair,"Nelson, Byron Warren",May 25 2022,May 24 2025,Order in Council
Athabasca University Board of Governors,Academic Staff Rep,"Cleveland-Innes, Martha",Jul 29 2024,Jul 21 2027,Ministerial Order
Athabasca University Board of Governors,Academic Staff Rep,"Khare, Anshuman",Feb 12 2025,Feb 11 2028,Ministerial Order
Athabasca University Board of Governors,Non-Academic Staff Rep,"Arcilla, Monica",Oct 18 2023,Oct 17 2026,Ministerial Order
Athabasca University Board of Governors,Tutor Member,"Kuzio, Brenda",Jan 24 2024,Jan 23 2027,Ministerial Order
Athabasca University Board of Governors,Student Member Rep,"Lehmann, Jan",Nov 08 2024,Nov 07 2027,Ministerial Order
Athabasca University Board of Governors,Student Member Rep,"Ramirez, Diana",Jul 15 2024,Jul 14 2027,Ministerial Order
Athabasca University Board of Governors,Graduate Student Member Rep,"Roy, Dave",May 15 2025,May 14 2028,Ministerial Order
Athabasca University Board of Governors,Public Member,"de Bever, Leo",Oct 05 2022,Oct 04 2025,Order in Council
Athabasca University Board of Governors,Public Member,"Gnatiuk, Don",Oct 05 2022,Oct 04 2025,Order in Council
Athabasca University Board of Governors,Public Member,"Leckelt, Dan",Oct 05 2022,Oct 04 2025,Order in Council
Athabasca University Board of Governors,Public Member,"Lovelace, Terry",Oct 05 2022,Oct 04 2025,Order in Council
Athabasca University Board of Governors,Public Member,"Van Rooijen, Lori",Oct 05 2022,Oct 04 2025,Order in Council
Athabasca University Board of Governors,Public Member,"Willier, Wilfred",Oct 05 2022,Oct 04 2025,Order in Council
Athabasca University Board of Governors,Public Member,"Gould, Elena",Jun 04 2025,Jun 03 2028,Order in Council
Athabasca University Board of Governors,Public Member,"Spagnolo, Larry",Oct 05 2022,Oct 04 2025,Order in Council
Athabasca University Board of Governors,Public Member,"Hobal, Jackie",Jun 04 2025,Jun 03 2028,Order in Council
Athabasca University Board of Governors,Public Member,"Morrill, Roger",Jun 04 2025,Jun 03 2028,Order in Council
Attendance Board,Chair & Member,"Betts, Angela",Sep 01 2024,Aug 31 2027,Ministerial Order
Attendance Board,Vice-Chair & Member,"Walsh, Todd",Sep 01 2024,Aug 31 2027,Ministerial Order
Attendance Board,Member,"Cavanagh, Dan",Sep 01 2024,Dec 31 2025,Ministerial Order
Attendance Board,Member,"Axelsen, Leanne",Feb 28 2025,Aug 31 2027,Ministerial Order
Attendance Board,Member,"Benoit, Daniel",Sep 01 2024,Aug 31 2027,Ministerial Order
Attendance Board,Member,"Henderson, Hamish",Sep 01 2024,Aug 31 2027,Ministerial Order
Attendance Board,Member,"Baier, Ron",Apr 21 2023,Aug 31 2025,Ministerial Order
Attendance Board,Member,"Byron, Mila",Sep 01 2024,Aug 31 2027,Ministerial Order
Attendance Board,Member,"Jones, Mark",Sep 01 2024,Aug 31 2027,Ministerial Order
Attendance Board,Member,"Ezike-Dennis, Emeka",Apr 21 2023,Aug 31 2025,Ministerial Order
Attendance Board,Member,"Bell, Lori",Feb 28 2025,Aug 31 2027,Ministerial Order
Attendance Board,Member,"Bouma, David",Feb 28 2025,Aug 31 2027,Ministerial Order
Attendance Board,Member,"Lickacz, Wendy",Sep 01 2024,Aug 31 2027,Ministerial Order
Attendance Board,Member,"Campbell, Cindy",Feb 28 2025,Aug 31 2027,Ministerial Order
Attendance Board,Member,"Gauthier, Monique",Apr 21 2023,Aug 31 2025,Ministerial Order
Attendance Board,Member,"Johnson, Linda",Apr 21 2023,Aug 31 2025,Ministerial Order
Attendance Board,Member,"McKay, David",Apr 21 2023,Aug 31 2025,Ministerial Order
Attendance Board,Member,"Claughton, Cathy",Feb 28 2025,Aug 31 2027,Ministerial Order
Attendance Board,Member,"Taylor, Wes",Apr 21 2023,Aug 31 2025,Ministerial Order
Attendance Board,Member,"Thompson, Kennedy",Apr 21 2023,Aug 31 2025,Ministerial Order
Attendance Board,Member,"Vandenhoek, Marvin",Apr 21 2023,Aug 31 2025,Ministerial Order
Attendance Board,Member,"Gautama, Tarnjit",Feb 28 2025,Aug 31 2027,Ministerial Order
Attendance Board,Member,"Huot, Darcey",Feb 28 2025,Aug 31 2027,Ministerial Order
Attendance Board,Member,"Thompson, Caroline",Sep 01 2024,Aug 31 2027,Ministerial Order
Attendance Board,Member,"Tiamiyu, Tony",Sep 01 2024,Aug 31 2027,Ministerial Order
Attendance Board,Member,"McCorkell, Tammy",Feb 28 2025,Aug 31 2027,Ministerial Order
Attendance Board,Member,"O'Hara, Michael",Feb 28 2025,Aug 31 2027,Ministerial Order
Attendance Board,Member,"Onuoha, Dumebi",Feb 28 2025,Aug 31 2027,Ministerial Order
Attendance Board,Member,"Patterson, Cheryl",Feb 28 2025,Aug 31 2027,Ministerial Order
Attendance Board,Member,"Pollom-Smith, Kiana",Feb 28 2025,Aug 31 2027,Ministerial Order
Attendance Board,Member,"Reschke, Karen",Feb 28 2025,Aug 31 2027,Ministerial Order
Attendance Board,Member,"Rodgers, Joseph",Feb 28 2025,Aug 31 2027,Ministerial Order
Attendance Board,Member,"Wilcox, Elizabeth",Sep 01 2024,Aug 31 2027,Ministerial Order
Automobile Insurance Rate Board,Vice-Chair & Member,"Matthews, Patricia",Jul 23 2025,Jul 22 2027,Order in Council
Automobile Insurance Rate Board,Member,"Vavrek, Vincent",Jun 01 2023,May 31 2026,Order in Council
Automobile Insurance Rate Board,Member,"Jeworski, Jay",Jul 23 2023,Jul 22 2026,Order in Council
Automobile Insurance Rate Board,Member,"Lazar-Tippe, Rita",Jul 01 2025,Jul 30 2027,Order in Council
Automobile Insurance Rate Board,"Member, Consumer Rep","Manten, Catherine",May 09 2024,May 15 2027,Ministerial Order
Automobile Insurance Rate Board,"Superintendent, Ex-Officio","Merriman, Chris",Dec 12 2023,,Ministerial Order
Balancing Pool,Chair & Member,"Clark, Greg",Nov 06 2022,Nov 05 2025,Ministerial Order
Balancing Pool,Member,"Kjelland, Neil",Aug 22 2024,Jul 15 2027,Ministerial Order
Balancing Pool,Member,"LeBane, Paul",Feb 21 2025,Feb 05 2028,Ministerial Order
Banff Centre Board of Governors,Chair,"Baay, Paul",Apr 10 2024,Apr 09 2027,Order in Council
Banff Centre Board of Governors,Public Member,"Brinkerhoff, Brinna",Apr 10 2024,Apr 09 2027,Order in Council
Banff Centre Board of Governors,Public Member,"Paine, Lori",Apr 10 2024,Apr 09 2027,Order in Council
Banff Centre Board of Governors,Public Member,"Sandhu, Pinder",Apr 10 2024,Apr 09 2027,Order in Council
Banff Centre Board of Governors,Public Member,"Schmold, Naomi",Apr 10 2024,Apr 09 2027,Order in Council
Banff Centre Board of Governors,Public Member,"Tetreault, Myron",Apr 10 2024,Apr 09 2027,Order in Council
Beverage Container Management Board,GOA Rep Member,"Rich, Kate",Dec 10 2024,,Letter
Birch Mountains Wildland Provincial Park Cooperative Management Board,Co-Chair & Member,"Parks Regional Director, Environment & Parks",Mar 12 2019,,Ministerial Order
Birch Mountains Wildland Provincial Park Cooperative Management Board,Member,"Parks Area Manager, Environment & Parks",Mar 12 2019,,Ministerial Order
Birch Mountains Wildland Provincial Park Cooperative Management Board,Member,"Parks Land & Resource Manager, Environment & Parks",Mar 12 2019,,Ministerial Order
Birch River Wildland Provincial Park Cooperative Management Board,Co-Chair & Member,"Parks Regional Director, Environment & Parks",Mar 12 2019,,Ministerial Order
Birch River Wildland Provincial Park Cooperative Management Board,Member,"Parks Area Manager, Environment & Parks",Mar 12 2019,,Ministerial Order
Birch River Wildland Provincial Park Cooperative Management Board,Member,"Parks Land & Resource Manager, Environment & Parks",Mar 12 2019,,Ministerial Order
Board of Reference Roster,Member,"Asbell, Mark",Oct 26 2024,Oct 25 2029,Order in Council
Board of Reference Roster,Member,"Yingst Bartel, Cheryl",Oct 26 2024,Oct 25 2029,Order in Council
Board of Reference Roster,Member,"Kaukas, Adam",Mar 12 2025,Mar 11 2030,Order in Council
Board of Reference Roster,Member,"Letourneau, Adam",Mar 12 2025,Mar 11 2030,Order in Council
Board of Reference Roster,Member,"Rosinski, Leanne",Mar 12 2025,Mar 11 2030,Order in Council
Board of Reference Roster,Member,"Turcza-Karhut, Anna",Mar 12 2025,Mar 11 2030,Order in Council
Board of Reference Roster,Member,"Umarji, Nazrina",Mar 12 2025,Mar 11 2030,Order in Council
Bow Valley College Board of Governors,Member,"Dubois, Dwayne",Sep 16 2022,Sep 15 2025,Order in Council
Bow Valley College Board of Governors,Member,"Claypool, Kara",Oct 17 2024,Oct 16 2027,Order in Council
Bow Valley College Board of Governors,Member,"Lee, Louise",Apr 04 2023,Apr 03 2026,Order in Council
Bow Valley College Board of Governors,Member,"McLeod, Steven",Dec 06 2022,Dec 05 2025,Order in Council
Bow Valley College Board of Governors,Member,"Bowen-Smed, Shannon",Jun 20 2024,Jun 19 2027,Order in Council
Bow Valley College Board of Governors,Member,"Wallace, Ron",Oct 17 2024,Oct 16 2027,Order in Council
Bow Valley College Board of Governors,Member,"Yeates, Neil",Apr 04 2023,Apr 03 2026,Order in Council
Bow Valley College Board of Governors,Non-Academic Staff Rep,"Smith, Indira",Oct 08 2024,Oct 07 2027,Ministerial Order
Bow Valley College Board of Governors,Student Member Rep,"Argonza, Eddie",May 22 2024,May 21 2025,Ministerial Order
Bow Valley College Board of Governors,Student Member Rep,"Bernardi, Vitoria",May 22 2024,May 21 2025,Ministerial Order
Bow Valley College Board of Governors,Chair & Member,"Kousinioris, John",Dec 06 2022,Dec 05 2025,Order in Council
Calgary Police Commission,Public Member,"Adediran, Ayodele",Apr 24 2023,Apr 23 2026,Ministerial Order
Calgary Police Commission,Public Member,"Ogle, Kelly",Apr 24 2023,Apr 23 2026,Ministerial Order
Calgary Police Commission,Public Member,"Tanguay, Robert",Apr 24 2023,Apr 23 2026,Ministerial Order
Campus Alberta Quality Council,Co-Chair,"McPherson, Moira",Feb 08 2023,Feb 07 2026,Ministerial Order
Campus Alberta Quality Council,Co-Chair,"Rogers, Gayla",Sep 22 2022,Sep 21 2025,Ministerial Order
Campus Alberta Quality Council,Member,"McQuillan, Kevin",Feb 08 2024,Feb 07 2027,Ministerial Order
Campus Alberta Quality Council,Member,"Prud'homme-Genereux, Annie",Aug 23 2024,Aug 22 2027,Ministerial Order
Campus Alberta Quality Council,Member,"Doherty, Jaclyn",Feb 08 2024,Feb 07 2027,Ministerial Order
Campus Alberta Quality Council,Member,"Zutter, Cynthia",Aug 23 2024,Aug 22 2027,Ministerial Order
Camrose Police Commission,Public Member,"Lansing, Tena",Nov 09 2023,Nov 08 2026,Ministerial Order
Canadian Centre of Recovery Excellence,Chair and Director,"Kaufmann, Kymberly",Jun 20 2025,Jun 30 2027,Ministerial Order
Canadian Information Processing Society of Alberta - Board of Directors,Public Member,"Power, Barbara",Nov 21 2017,Nov 20 2019,Ministerial Order
Caribou Sub-Regional Council,AEP Employee Member,"Employee, Environment and Parks",,,Ministerial Order
Caribou Sub-Regional Council,AEP Employee Alternate Member,"Employee, Environment and Parks",,,Ministerial Order
Caribou Sub-Regional Council,Members (35),"Non-GoA Appointment, (Member)",,,Non-GOA Appointment
Certification Appeal Committee,Chair & Member,"Safran, Laura",Sep 06 2022,Sep 05 2025,Ministerial Order
Certification Appeal Committee,Member,"Davis, Stephen",Sep 06 2022,Sep 05 2025,Ministerial Order
Certification Appeal Committee,Member,"King, Katherine",Sep 06 2022,Sep 05 2025,Ministerial Order
Certification Appeal Committee,Member,"Penner, Keith",Sep 06 2022,Sep 05 2025,Ministerial Order
Certification Appeal Committee,Member,"Radford Evans, Dee-Ann",Sep 06 2022,Sep 05 2025,Ministerial Order
Certification Appeal Committee,Member,"Wilcox, Elizabeth",Sep 06 2022,Sep 05 2025,Ministerial Order
Chartered Professional Accountants of Alberta – Board of Directors,Public Member,"Sopko, Marie",Nov 20 2024,Nov 19 2027,Order in Council
Chartered Professional Accountants of Alberta - Discipline and Appeal Tribunals Roster of Public Members,Public Member,"Scott, Darlene",Nov 20 2024,Nov 19 2027,Order in Council
Chartered Professional Accountants of Alberta - Discipline and Appeal Tribunals Roster of Public Members,Public Member,"Abiiba, Funmi",Nov 20 2024,Nov 19 2027,Order in Council
Chartered Professional Accountants of Alberta - Discipline and Appeal Tribunals Roster of Public Members,Public Member,"Armstrong, Steven",Nov 27 2018,Nov 26 2021,Order in Council
Chartered Professional Accountants of Alberta - Discipline and Appeal Tribunals Roster of Public Members,Public Member,"Dugas, Wendy",Nov 20 2024,Nov 19 2027,Order in Council
Chartered Professional Accountants of Alberta - Discipline and Appeal Tribunals Roster of Public Members,Public Member,"Baron, Michael",Nov 20 2024,Nov 19 2027,Order in Council
Chartered Professional Accountants of Alberta - Discipline and Appeal Tribunals Roster of Public Members,Public Member,"Klingle, Gloria",Nov 20 2024,Nov 19 2027,Order in Council
Chartered Professional Accountants of Alberta - Discipline and Appeal Tribunals Roster of Public Members,Public Member,"Letourneau, Adam",Nov 20 2024,Nov 19 2027,Order in Council
Chartered Professional Accountants of Alberta - Discipline and Appeal Tribunals Roster of Public Members,Public Member,"Lindsay, John",Nov 20 2024,Nov 19 2027,Order in Council
Chartered Professional Accountants of Alberta - Discipline and Appeal Tribunals Roster of Public Members,Public Member,"McCorkell, Tammy",Nov 20 2024,Nov 19 2027,Order in Council
Chartered Professional Accountants of Alberta - Discipline and Appeal Tribunals Roster of Public Members,Public Member,"McKinley, Barbara",Nov 27 2018,Nov 26 2021,Order in Council
Chartered Professional Accountants of Alberta - Discipline and Appeal Tribunals Roster of Public Members,Public Member,"Piecowye, Debi",Nov 27 2018,Nov 26 2021,Order in Council
Chartered Professional Accountants of Alberta - Discipline and Appeal Tribunals Roster of Public Members,Public Member,"Weatherill, Stuart",Nov 27 2018,Nov 26 2021,Order in Council
Chartered Professional Accountants of Alberta - Discipline and Appeal Tribunals Roster of Public Members,Public Member,"Chow, Geoff",Nov 20 2024,Nov 19 2027,Order in Council
Chartered Professional Accountants of Alberta - Discipline and Appeal Tribunals Roster of Public Members,Public Member,"Doolaege, Shari-Anne",Nov 20 2024,Nov 19 2027,Order in Council
Chartered Professional Accountants of Alberta - Discipline and Appeal Tribunals Roster of Public Members,Public Member,"Johnstone, Dianne",Nov 20 2024,Nov 19 2027,Order in Council
Chartered Professional Accountants of Alberta - Discipline and Appeal Tribunals Roster of Public Members,Public Member,"McCartney, James",Nov 27 2018,Nov 26 2021,Order in Council
Chartered Professional Accountants of Alberta - Discipline and Appeal Tribunals Roster of Public Members,Public Member,"McMullan-Baron, Sharon",Nov 20 2024,Nov 19 2027,Order in Council
Chartered Professional Accountants of Alberta - Discipline and Appeal Tribunals Roster of Public Members,Public Member,"Plecash, Ross",Nov 20 2024,Nov 19 2027,Order in Council
Chartered Professional Accountants of Alberta - Discipline and Appeal Tribunals Roster of Public Members,Public Member,"Wheadon, Patricia",Nov 27 2018,Nov 26 2021,Order in Council
Chartered Professional Accountants of Alberta - Discipline and Appeal Tribunals Roster of Public Members,Public Member,"Yatscoff, Randall",Nov 20 2024,Nov 19 2027,Order in Council
Chartered Professional Accountants of Alberta - Discipline and Appeal Tribunals Roster of Public Members,Public Member,"Harding, Alissa",Nov 20 2024,Nov 19 2027,Order in Council
Citizen's Appeal Panel,Vice-Chair & Member,"Catonio, Colin",Apr 25 2023,Mar 31 2026,Ministerial Order
Citizen's Appeal Panel,Vice-Chair & Member,"Gaudette, Bill",Jun 26 2024,Mar 31 2027,Ministerial Order
Citizen's Appeal Panel,Vice-Chair & Member,"Lavoie, Dianne",Apr 25 2023,Mar 31 2026,Ministerial Order
Citizen's Appeal Panel,Vice-Chair & Member,"Caleffi, Vince",Apr 10 2025,Mar 31 2028,Ministerial Order
Citizen's Appeal Panel,Member,"Ascroft, Thomas",Apr 10 2025,Mar 31 2028,Ministerial Order
Citizen's Appeal Panel,Member,"Bell, Elizabeth",Apr 25 2023,Mar 31 2026,Ministerial Order
Citizen's Appeal Panel,Member,"Stadnyk, Nichole",Jun 26 2024,Mar 31 2027,Ministerial Order
Citizen's Appeal Panel,Member,"Betts, Leanne",Jun 26 2024,Mar 31 2027,Ministerial Order
Citizen's Appeal Panel,Member,"Bell, Lori",Mar 26 2025,Mar 31 2027,Ministerial Order
Citizen's Appeal Panel,Member,"Berger, David",Mar 26 2025,Mar 31 2027,Ministerial Order
Citizen's Appeal Panel,Member,"Ingeveld, Gerald",Mar 26 2025,Mar 31 2027,Ministerial Order
Citizen's Appeal Panel,Member,"King, Stanley",Mar 26 2025,Mar 31 2027,Ministerial Order
Citizen's Appeal Panel,Member,"McLaren, James",Mar 26 2025,Mar 31 2027,Ministerial Order
Citizen's Appeal Panel,Member,"Murrin, Melanie",Mar 26 2025,Mar 31 2027,Ministerial Order
Citizen's Appeal Panel,Member,"Farkas, Kris",Apr 25 2023,Mar 31 2026,Ministerial Order
Citizen's Appeal Panel,Member,"Price, Anne",Apr 10 2025,Mar 31 2028,Ministerial Order
Citizen's Appeal Panel,Member,"Crockatt, Joan",Jun 26 2024,Mar 31 2027,Ministerial Order
Citizen's Appeal Panel,Member,"Cunningham, Karen",Apr 25 2023,Mar 31 2026,Ministerial Order
Citizen's Appeal Panel,Member,"Dighe-Bramwell, Sarita",Jun 26 2024,Mar 31 2027,Ministerial Order
Citizen's Appeal Panel,Member,"Dixon, Donna",Apr 25 2023,Mar 31 2026,Ministerial Order
Citizen's Appeal Panel,Member,"Dutt, Vimmi",Apr 10 2025,Mar 31 2028,Ministerial Order
Citizen's Appeal Panel,Member,"Andrews, Debi",Apr 10 2025,Mar 31 2028,Ministerial Order
Citizen's Appeal Panel,Member,"Erickson, Robbyn",Apr 25 2023,Mar 31 2026,Ministerial Order
Citizen's Appeal Panel,Member,"Gogo, Dango",Apr 10 2025,Mar 31 2028,Ministerial Order
Citizen's Appeal Panel,Member,"Gunn, Gerry",Jun 26 2024,Mar 31 2027,Ministerial Order
Citizen's Appeal Panel,Member,"Chipeur, Stephanie",Apr 10 2025,Mar 31 2028,Ministerial Order
Citizen's Appeal Panel,Member,"Heinemann, Eugene",Apr 25 2023,Mar 31 2026,Ministerial Order
Citizen's Appeal Panel,Member,"Hildebrand, Sandra",Apr 25 2023,Mar 31 2026,Ministerial Order
Citizen's Appeal Panel,Member,"Holloway, Amanda",Jun 26 2024,Mar 31 2027,Ministerial Order
Citizen's Appeal Panel,Member,"Friesen, Eunice",Jun 26 2024,Mar 31 2027,Ministerial Order
Citizen's Appeal Panel,Member,"Hundal, Gurvinder",Apr 10 2025,Mar 31 2028,Ministerial Order
Citizen's Appeal Panel,Member,"Evans, Susan",Apr 10 2025,Mar 31 2028,Ministerial Order
Citizen's Appeal Panel,Member,"Kavaz, Vesna",Jun 26 2024,Mar 31 2027,Ministerial Order
Citizen's Appeal Panel,Member,"Konelsky, Dawn",Jun 26 2024,Mar 31 2027,Ministerial Order
Citizen's Appeal Panel,Member,"Kwiatkowski, Ken",Jun 26 2024,Feb 18 2026,Ministerial Order
Citizen's Appeal Panel,Member,"Claughton, Tim",Apr 25 2023,Mar 31 2026,Ministerial Order
Citizen's Appeal Panel,Member,"Littlechild, Ruby",Apr 25 2023,Mar 31 2026,Ministerial Order
Citizen's Appeal Panel,Member,"Main, Evelyn",Apr 10 2025,Mar 31 2028,Ministerial Order
Citizen's Appeal Panel,Member,"Kadatz, Jeanine",Apr 10 2025,Mar 31 2028,Ministerial Order
Citizen's Appeal Panel,Member,"Mankowski, Monica",Jun 26 2024,Mar 31 2027,Ministerial Order
Citizen's Appeal Panel,Member,"Halcrow, Lisa",Jun 26 2024,Mar 31 2027,Ministerial Order
Citizen's Appeal Panel,Member,"McMullin, Lisa",Apr 10 2025,Mar 31 2028,Ministerial Order
Citizen's Appeal Panel,Member,"Meyette, Paul",Apr 25 2023,Mar 31 2026,Ministerial Order
Citizen's Appeal Panel,Member,"Moorhouse, Timothy",Apr 25 2023,Mar 31 2026,Ministerial Order
Citizen's Appeal Panel,Member,"Morris, Laurette",Apr 25 2023,Mar 31 2026,Ministerial Order
Citizen's Appeal Panel,Member,"Mueller, Caren",Jun 26 2024,Mar 31 2027,Ministerial Order
Citizen's Appeal Panel,Member,"Labonte, Shirley",Jun 26 2024,Mar 31 2027,Ministerial Order
Citizen's Appeal Panel,Member,"Kassian, Brent",Apr 25 2023,Mar 31 2026,Ministerial Order
Citizen's Appeal Panel,Member,"Pohl, Catherine",Jun 26 2024,Mar 31 2027,Ministerial Order
Citizen's Appeal Panel,Member,"Polzin, Tim",Apr 25 2023,Mar 31 2026,Ministerial Order
Citizen's Appeal Panel,Member,"St. Dennis, Monica",Apr 10 2025,Mar 31 2028,Ministerial Order
Citizen's Appeal Panel,Member,"Meier, Denis",Jun 26 2024,Mar 31 2027,Ministerial Order
Citizen's Appeal Panel,Member,"Rosettis, Thomas",Jun 26 2024,Mar 31 2027,Ministerial Order
Citizen's Appeal Panel,Member,"Santiago, Tony",Jun 26 2024,Mar 31 2027,Ministerial Order
Citizen's Appeal Panel,Member,"Steinke, Elaine",Apr 25 2023,Mar 31 2026,Ministerial Order
Citizen's Appeal Panel,Member,"Stelmachovich, Donna",Jun 26 2024,Feb 18 2026,Ministerial Order
Citizen's Appeal Panel,Member,"Kuhse, George",Apr 25 2023,Mar 31 2026,Ministerial Order
Citizen's Appeal Panel,Member,"Mullen, Dierdre",Jun 26 2024,Mar 31 2027,Ministerial Order
Citizen's Appeal Panel,Member,"Panasiuk, Joanne",Jun 26 2024,Mar 31 2027,Ministerial Order
Citizen's Appeal Panel,Member,"Urlacher, Eva",Jun 26 2024,Mar 31 2027,Ministerial Order
Citizen's Appeal Panel,Member,"Sanderson, Kim",Apr 10 2025,Mar 31 2028,Ministerial Order
Citizen's Appeal Panel,Member,"Dougall, Carol",Jun 26 2024,Mar 31 2027,Ministerial Order
Citizen's Appeal Panel,Member,"Tiessen, Jamie",Jun 26 2024,Mar 31 2027,Ministerial Order
Citizen's Appeal Panel,Member,"Rodgers, Joseph",Jun 26 2024,Mar 31 2027,Ministerial Order
Citizen's Appeal Panel,Member,"Enns, Christine",Apr 10 2025,Mar 31 2028,Ministerial Order
Citizen's Appeal Panel,Member,"Gilbert, Pat",Apr 10 2025,Mar 31 2028,Ministerial Order
Citizen's Appeal Panel,Member,"Ray, David",Apr 10 2025,Mar 31 2028,Ministerial Order
Citizen's Appeal Panel,Member,"Paterson, Richard",Apr 10 2025,Mar 31 2028,Ministerial Order
Citizen's Appeal Panel,Member,"Zarb, Lise",Apr 25 2023,Sep 30 2025,Ministerial Order
Classification Appeal Board,Chair,"Perry, Bruce",Jan 10 2024,Jan 09 2027,Ministerial Order
Classification Appeal Board,Alternate Chair,"Christopherson, Marina",Feb 15 2024,Feb 14 2027,Ministerial Order
Classification Appeal Board,Employer Appointee - GOA,"Callahan, Laura",May 01 2020,,Ministerial Order
Classification Appeal Board,Employer Appointee - GOA,"Coccimiglio, John",May 01 2020,,Ministerial Order
Classification Appeal Board,Employer Appointee - GOA,"Currie, Ashley",May 01 2020,,Ministerial Order
Classification Appeal Board,Employer Appointee - GOA,"Kelly, John",Oct 01 2003,,Ministerial Order
Classification Appeal Board,Employer Appointee - GOA,"Lam, Abigail",May 01 2020,,Ministerial Order
Classification Appeal Board,Employer Appointee - GOA,"Lawson, Shannon",May 01 2020,,Ministerial Order
Classification Appeal Board,Employer Appointee - GOA,"Lee, Jocelyn",May 01 2020,,Ministerial Order
Classification Appeal Board,Director,"Phaneuf, Megan",Jan 10 2024,,Ministerial Order
Classification Appeal Board,Employer Appointee - GOA,"Re, Melissa",May 01 2020,,Ministerial Order
Classification Appeal Board,Employer Appointee - GOA,"Weinrich, Carrie",May 01 2020,,Ministerial Order
Classification Appeal Board,Union Appointee - AUPE,"Drennan, Carol",Oct 01 2008,,Ministerial Order
Classification Appeal Board,Union Appointee - AUPE,"Watson, Lee",May 01 2020,,Ministerial Order
Climate Change and Emissions Management Corporation (operating as Emissions Reduction Alberta),Chair & Director,"Ogle, Kelly",Nov 15 2023,Nov 14 2025,Letter
Climate Change and Emissions Management Corporation (operating as Emissions Reduction Alberta),Director,"Swampy, Dale",Jun 24 2024,Jun 23 2027,Letter
Climate Change and Emissions Management Corporation (operating as Emissions Reduction Alberta),Director,"Birn, Kevin",Jun 24 2024,Jun 23 2027,Letter
Climate Change and Emissions Management Corporation (operating as Emissions Reduction Alberta),Director,"Cullum, Stuart",Dec 10 2024,Dec 09 2027,Letter
Climate Change and Emissions Management Corporation (operating as Emissions Reduction Alberta),GOA Rep,"Clarke, Stephanie",Jul 23 2025,Jul 22 2028,Letter
College of Acupuncturists of Alberta – Council,Public Member,"Ansah-Sam, Monica",Sep 29 2024,Sep 28 2027,Order in Council
College of Acupuncturists of Alberta – Council,Public Member,"Little, Neil",Apr 30 2025,Apr 29 2028,Order in Council
College of Acupuncturists of Alberta – Council,Public Member,"Cameron Melrose, Sean",Oct 09 2024,Oct 08 2027,Order in Council
College of Alberta Dental Assistants - Council,Public Members,"Adediran, Ayodele",May 09 2024,Mar 31 2027,Order in Council
College of Alberta Dental Assistants - Council,Public Members,"Tawadrous, Onsy",Nov 07 2024,Nov 06 2027,Order in Council
College of Alberta Dental Assistants - Council,Public Members,"Sohn, Sam",Jun 11 2025,Jun 10 2028,Order in Council
College of Alberta Dental Assistants - Council,Public Members,"Jackman, Joshua",Oct 11 2022,Oct 10 2025,Order in Council
College of Alberta Dental Assistants - Council,Public Members,"Slenders, Wilma",Oct 09 2024,Oct 08 2027,Order in Council
College of Alberta Denturists - Council,Public Member,"Gagliardi, Giuseppe",Sep 29 2024,Sep 28 2027,Order in Council
College of Alberta Denturists - Council,Public Member,"Mattie, Lora",Apr 20 2022,Apr 19 2025,Order in Council
College of Alberta Denturists - Council,Public Member,"Peermohamed, Munira",Oct 09 2024,Oct 08 2027,Order in Council
College of Alberta Denturists - Council,Public Member,"Erickson, Robin",Nov 07 2024,Nov 06 2027,Order in Council
College of Alberta Denturists - Council,Public Member,"Williams, Lesley",Apr 30 2025,Apr 29 2028,Order in Council
College of Alberta Psychologists - Council,Public Member,"Jones, Tamara",Oct 09 2024,Oct 08 2027,Order in Council
College of Alberta Psychologists - Council,Public Member,"Stanners, Michèle",Apr 01 2021,Mar 31 2024,Order in Council
College of Alberta Psychologists - Council,Public Member,"Taylor, Joanne",Sep 29 2024,Sep 27 2027,Order in Council
College of Alberta Psychologists - Council,Public Member,"Tomlinson, Garrett",Apr 20 2022,Mar 19 2024,Order in Council
College of Alberta Psychologists - Council,Public Member,"Agbulu, Paul",Apr 30 2025,Apr 29 2028,Order in Council
College of Chiropractors of Alberta,Public Member,"Kim, Michael",Apr 24 2024,Apr 23 2027,Order in Council
College of Chiropractors of Alberta,Public Member,"Runka Owens, Ashley",Jun 29 2022,Jun 28 2025,Order in Council
College of Chiropractors of Alberta,Public Member,"Choi, Tony",Apr 30 2025,Apr 29 2028,Order in Council
College of Chiropractors of Alberta,Public Member,"van Rooijen, Shanine",Apr 30 2025,Apr 29 2028,Order in Council
College of Dental Surgeons of Alberta,Public Member,"Bayrock, Terrence",Sep 29 2024,Sep 28 2027,Order in Council
College of Dental Surgeons of Alberta,Public Member,"Chipeur, Barbara",Nov 26 2022,Nov 25 2025,Order in Council
College of Dental Surgeons of Alberta,Public Member,"Crockatt, Scarlett",Aug 10 2024,Aug 09 2027,Order in Council
College of Dental Surgeons of Alberta,Public Member,"Hawrelko, Kenneth",Sep 25 2024,Sep 24 2027,Order in Council
College of Dental Surgeons of Alberta,Public Member,"LaPerle, Shari Anne",Apr 20 2022,Nov 02 2024,Order in Council
